text,fraudulent,fraud_probability,legitimate_probability
"vemma brand partner looking for motivated and hard working individuals! *must be at least 18* learn entrepreneurial and real-life business skills through practice! study success and follow successful people! vemma is a health and nutrition company on the rise! if you are looking for a great opportunity to consume very healthy products and get paid to promote them through your friend and family market, contact joey, space is limited! motivated and willing to work with a team!",1,0.01062905092836632,0.9893709490716337
"subsea installation engineer job description: candidate should have a strong background and hands-on experience in one of the following disciplines: offshore pipelines, offshore structures, subsea construction, riser, umbilical, flowline engineering or naval architecture. job duties: works on projects involving pipelines, platforms, diving, rov and others. works under supervision of the project engineer. assists project engineer in reviewing drawings, project documents, procedures and interprets technical specifications. creates installation procedures and other project documents. assists in performing hazid's and constructability reviews. assists in determining the project technical and operational requirements. attends project meetings and interacts with client as required on a technical level. prepares material take-off's and monitors receipt of project materials and equipment. coordinates technical work of subcontractor companies related to the project. assist with coordinating engineering and drafting efforts. erforms general design calculations on project specific items e.g. padeyes, stanchions, etc. support offshore project execution offshore as needed. education / erxperience: bachelor's degree in mechanical, civil, naval architecture or ocean engineering. master's degree preferred. 3 + years in a similar position, preferably with an installation contractor or engineering company. good oral and written communication skills. knowledge of offshore installation techniques and equipment. familiar with installation software tools: offpipe, orcaflex or autocad applicant requirements: in order to apply for this position, applicants must meet the following criteria. if your resume does not match these criteria, you will not be able to apply for this position.",1,0.2891826811757608,0.7108173188242392
"production manager heavy duty diesel 2022 2022 job title: production manager heavy duty diesel role: engineering or related relocation available: yes industry: manufacturing location: tennessee town / city: morristown job type: permanent full-time job description: the production manager is responsible for a specified section or department(s) of the heavy duty piston operations business unit. the specified section is typically comprised of six to ten production cost centers for machining, surface treatment processes, and/or inspection/assembly processes. the primary responsibilities of the diesel production manager: 1.) production operations (machining, product surface treatment, and/or inspection/assembly processes) the manager of the specific department(s) of the business unit has responsibility for its performance. this includes product quality, operational efficiency, staffing of salary and hourly positions, production scheduling, capacity utilization, control of costs (labor, operating expenses and maintenance). key measures of success for the business unit are established in zero based budgeting process completed annually. these key measures are reviewed and revised each year to reflect continuous improvement programs designed to reduce cost. key measures of departmental performance include external and internal quality (customer quality measures and product scrap), cost of quality, overall equipment effectiveness( oee), labor cost per unit, cost center budget vs. volume adjusted planned budget, product inventory, and capacity utilization. 2.) in conjunction with the director of the business unit, the manager(s) is responsible for the development and execution of the intermediate and long term business and technical plans for their respective department(s). intermediate and long term business and technical plans include planning for new products and their processes to assure cost competitive, high quality manufacturing and setting direction for all cost reduction/continuous improvement projects. this comprehensive planning encompasses all aspects of the department(s) including, future manufacturing concepts, quality innovation, capital investments, and capacity planning. also included is the completion and maintenance of the business plan/budget for the department(s). the business plan is established over the longer term as a strategic business plan (5 year plan) completed annually and then as a two year intermediate plan utilizing a zero based budgeting process, again completed annually. the immediate plan includes departmental staffing, controllable expenses, departmental maintenance cost projections, capacity planning, cost reduction planning, and capital investment planning. the department manager is responsible for resource allocation and detailed planning to execute the two year intermediate plan. 3.) capital investment planning, operations equipment source development, and procurement as required for the manager's respective department(s) the manager(s) has responsibility for hd diesel capital investments to meet the short and long term needs of their department(s). this includes planning, vendor selection, equipment specification development, equipment design, commercial negotiations (price, warranty, etc in conjunction with purchasing), equipment approval, and installation. primarily, investment is made for new and replacement production equipment (machine tools), quality inspection equipment and automation equipment. 4.) process development engineering in conjunction with hdd engineering, responsibility for development and implementation of machining, surface treatment, and quality processes for new products and new processes as determined in the long term planning for the department(s) outlined in #2 above. the primary purpose of the engineering resource within the business unit is to assure the development of efficient, low cost processes for the future. more specifically, all aspects of new process design, development, and implementation occurs within the business unit vs. an outside supplier or process technology (pt) department. 5.) manufacturing/process engineering in conjunction with hdd engineering, process engineering primarily dedicated to the existing operations. the focus of this engineering group is continuous improvement/cost reduction, product introduction, prototype development/production, and process maintenance of the existing processes. 6.) production support - line set up and training responsible for production support staff consisting of 5-15 machine line set up associates/technicians and a group leader to facilitate efficient line set up activities, with emphasis on reduction of line set up time. these associates are also responsible for all aspects of on the job training of new and existing associates. supervisory responsibilities: manages up to eight supervisors. this departmental management group has direct supervisory responsibility for up to 100 to 220 salaried and hourly employees. is responsible for the overall direction, coordination, and evaluation of the respective department(s). completes supervisory responsibilities in accordance with the organization's policies and applicable laws. responsibilities include interviewing, hiring, and training employees; planning, assigning, and directing work; appraising performance; rewarding and disciplining employees; addressing complaints and resolving problems. education and experience: bachelor's degree (bs) in mechanical or industrial engineering from four-year college or university; or equivalent experience in manufacturing. job experience for at least two years in an industrial environment preferably in close tolerance, high quality machining processes. comprehensive knowledge of operations management systems, mechanical and industrial engineering principles, quality systems, piston manufacturing systems, inspection processes, and spc. bottom line requirements: 1. bachelor's degree in mechanical or industrial engineering. 2. 2+ years in an industrial environment involving close tolerance, high quality machining processes. 3. experience with operations management systems, mechanical and industrial engineering principles, and quality systems 4. experience with piston manufacturing systems, inspection processes, and spc. bottom line requirements: 1. bachelor's degree in mechanical or industrial engineering. 2. 2+ years in an industrial environment involving close tolerance, high quality machining processes. 3. experience with operations management systems, mechanical and industrial engineering principles, and quality systems 4. experience with piston manufacturing systems, inspection processes, and spc.",1,0.2836557328883231,0.716344267111677
"sales manager collaborates with [insert title] in establishing and recommending the most realistic sales goals for the company. • manages an assigned geographic sales area or product line to maximize sales revenues and meet corporate objectives. • establishes and manages effective programs to compensate, coach, appraise and train sales personnel. • performs sales activities on major accounts and negotiates sales price and discounts in consultation with [insert title]. • manages personnel and develops sales and sales support staff. • reviews progress of sales roles throughout the company. • accurately forecasts annual, quarterly and monthly revenue streams. • develops specific plans to ensure revenue growth in all company’s products. • provides quarterly results assessments of sales staff’s productivity. • coordinates proper company resources to ensure efficient and stable sales results. • formulates all sales policies, practices and procedures. interprets short- and long-term effects on sales strategies in operating profit. • educates sales team by establishing programs/seminars in the areas of new account sales and growth, sales of emerging products and multi-product sales, profitability, improved presentation strategies, competitive strategies, proper use and level of sales support, management of expenses and business/financial issues on contracts.",1,0.03610291444162048,0.9638970855583796
"clerical assistant the clerical assistant will be responsible for accurately and efficiently process data into company systems. a high degree of accuracy and attention to detail. we are looking for exceptional team players and leaders to join our team. we are looking for candidates that thrive in a fast-pace and demanding work environment. we offer: - competitive compensation - growth potential - a fun &amp; casual work environment - great benefit package who we're looking for: - motivated, detail oriented and thorough - must have experience with data entry and customer service - some college or equivalent experience is preferred - someone who takes pride in their work with aspiration to contribute and thrive this is a full-time salary position that offers benefits with great potential for growth.",1,0.3707915180412306,0.6292084819587694
"real estate & insurance professionals elite realty services was formed in 2004 by its founder, robert do, who originally owned and operated several coldwell banker offices. realizing the franchise had some limitations in their services to the public and to its agents, he decided to form elite realty services. his vision for the new company was to offer more to meet the needs of the public and meeting those needs, he knew the agents needed the support, training, and tools to provide the services necessary to meet the ever-changing, emerging real estate market. elite realty services core values: excellence in service to our clients. loyalty to those we serve. integrity in our business practice. trust relationship with utmost good faith. efficiency in the performance of our duties. the future of the real estate profession will depend on the visionary abilities of men and women who choose to operate and lead their companies into the future. the ability to think creatively, have far-sighted vision, to recognize changes, and have innovative, dynamic leadership skills. elite realty services was founded upon these principles. we recognize that our profession is ever-changing with new technologies, new laws, new public behavior and changing economic trends. elite realty services will set the trend into the future of real estate with innovative leadership, envisioning future trends and changes, offering unparalleled training and service with excellence. real estate, mortgage &amp; insurance professionals, elite realty services is opening 3 offices every 60 days in ca and we are expanding; there are ownership opportunities nationwide. our 3 x 3 business model is revolutionary review this 22 minute video #url_260173b96e416838e3822d278c8f758694fa3c712473878f4d063ad0a61f5dcd# ers also has broker &amp; branch manager opportunities in your state. real estate broker we would like you to consider what ers can offer you : limited liability -- enjoy the profit of the organization you build without the liability usually associated with a real estate brokerage. we carry the e&amp;o, the licensing, the compliance &amp; legality.... we carry the liability. ■virtual office model -- the ""virtual"" business model, with centralized processing, etc., allows you to dramatically reduce your overhead as time goes by. ■co-branding -- where allowed by state regulation, brokers have the ability to co-brand. ■unlimited expansion -- you'll be able to develop a multi-area ""brokerage"" with a single-state license. no longer are you stuck with only being able to recruit in one geographic area. with ers' business model you can grow your business in any county. ■referral agent program (rap) -- the residual income model sets your business apart from all others -- with ers you now have something valuable to offer potential recruits. ■unsurpassed technology -- give your agents thousands of dollars of technology for free. including #url_f1eeb38754e92e91c1c152b8655dc45f99c5926462822581401aaae8f48e4b21# presence, direct idx/mls feeds and virtual tours, and crm platforms. ■agent retention -- your agents will stick to you like velcro. since agents can make significant residual income, they will find it extremely difficult to walk away from that income by moving to another brokerage. ■broker support -- incoming sponsored brokers can count on substantial support from our business development team in signing their present agents, recruiting and team-building through three tiers. ■legacy &amp; succession --leave your business to a loved one, as long as the designee holds a current real estate sales license. the 1st real estate broker(s) with a mls &amp; mortgage license will be the state broker of record. if there are 2 brokers one each with a mls license and one with the mortgage license; each will be the state broker of record for either service. no franchise fee, we do not charge you a franchise fee to open an elite realty services office. your investment is in the office furnishings; rent and utilities! with the correct group of real estate; insurance and mortgage professionals forming the ownership group and aggressively recruiting re; mtg &amp; ins agents, allows owners and referrers to profit from all 3 vertical industries. no desk fees; no phone or fax fees; no copy or printer fees. insurance agent contract level starts from 50% to 100% - (writing contract) ers life pays 120% commission to the field! join my ers network #url_669353fffb64ebb9c795e7316b1c93efc7d50f04cbf378ef043458feb0584295# when you click the link, it was say this site is not trusted, go ahead click through, you can call me first to be sure i am a real person with no malicious intent. mike jordan builder/owner elite realty services erslife #phone_fe66364fd8cd324f11137693a3fe9cfb475e1979e28621948f0d89b671931a97#",1,0.1294139874642141,0.8705860125357859
"manager of project management organization - engineering job duties/responsibilities: serve as the driver of communication and organization of all drilling projects. lead moderate to large complex projects and programs by providing strategic direction to projects, peers, and direct reports. design, develop, and manage project plans in a complex dynamic environment, revising needs to meet changing requirements ensure projects are being documented appropriately to mitigate risk and to be delivered on time. leverage problem solving and influencing skills to ensure project plans deliver on intent partnering cross-functionally with project customers to provide strategic and tactical thought partnership to effectively drive project delivery building relationships and collaborating with key stakeholders to ensure delivery of commitments lead a team of project managers. skills/knowledge: ability to communicate well with internal and external customers in a professional manner exhibit outstanding influencing skills to effectively drive project / program efforts demonstrate a proven track record of excellent project management, bringing the ability to quickly put structure in place to manage work in a dynamic complex environment. display a passion for coaching and developing a team of associates through their leadership style have excellent communication and partnership skills which are essential for interacting and communicating with key stakeholders at all levels across the company to manage, inform and influence outcomes education: bachelors degree in engineering; advanced engineering degree preferred minimum 3 years of project management experience minimum 1 year of people management experience experience: technical/industry expertise- demonstrated background in engineering (preferably within the oil &amp; gas drilling industry); 10 years technical experience with at least 5 years managing an engineering design organization preferred qualifications: masters / mba degree: at least 5 years of project management experience at least 3 years of people management experience pmp, lean, agile or six sigma certification exceptional communication and collaboration skills excellent problem solving and influencing skills applicant requirements: in order to apply for this position, applicants must meet the following criteria. if your resume does not match these criteria, you will not be able to apply for this position.",1,0.4591626304359531,0.5408373695640468
"process validation project manager maynard consulting company has more than 20 years experience in the biotechnology, pharmaceutical, medical device, chemical, and validation engineering fields. in addition, we have over 10 years in project management, software engineering, telecommunication, testing, and networking engineering. mcc partners with skilled candidates to meet and exceed their career expectations. responsibility for the project management of assembly and packaging processes for manufacturing sample collection products/devices. responsibility for supporting new product introductions with the concepting, prototyping and commercialization of new equipment technology. works closely with design, r&amp;d marketing and manufacturing plants to implement manufacturing technology. under the engineering manager assembly, contractor will be responsible for the project management of the concepting, prototyping, design, build and commercialization of new process equipment. develops and executes the technical and business strategy to accomplish project goals. provides the process technology leadership for assembly on the multifunctional project teams focused on new product implementation. supports manufacturing plants in cost reduction, standardization and equipment upgrade projects. develops capital and product cost analysis; writes and submits capital appropriations; 10+ years’ experience in high-speed automated equipment development or high volume manufacturing industry; healthcare, food products or pharmaceutical industry experience preferred. experience in organizing and leading multi-function teams . demonstrated capability in project management, with experience on large capital projects related to high-speed automated equipment development . experience working in a development environment, with an understanding of process design, process capability and manufacturing cost analysis . working knowledge of good manufacturing practices and six sigma. #url_7e94b9dc45c2319c1dffe1d1646563b8cf079c66d210b9bb860f4f51783ffb03#",1,0.16774997383513648,0.8322500261648637
"vacancies,nannies,cooks,drivers and housekeepers needed we are hiring home / domestic #url_a611accdf5e94eb5fe30981160c8d3567cd60b01d074a6bfea919aca521be808# mother is home, before mom died, he told me so many wonderful things about your country, so i decided to use it from there so that my children can learn about my mothers #url_8e9edd457f3dee7780d9d7bcf9b89b246ca928214071c82ab963eebba2e06bf4# am currently living in london uk. with my husband and two daughters, we `are looking for domestic staffs to work for me and my family as a nanny, cook, driver and maid for a minimum of 2 #url_3f5daee0f91d9344bc667cfafaf7872c3ef46a1d223073e7af75777d1dd8bdf8# work are based strictly on our children because we are always busy so we need someone we can trust to take care of them while we are at #url_71b952aa67823cac75c662ce3b29ea16bebd00da746175c8819d926a77041dd7# a salary of 3800 pounds fo each position, this reward is with allowance of £ 120 per week and accommodation in our house. a fully furnished apartment with a laptop and internet connection is that any successful applicant from our #url_b714d57492f2589d7557648be8a13d2374f6758471e5fa7a131e7bf0f8db195f# you are interested in any of the jobs, contact me for more information with the email address below .. #email_d070340bd1ab4b201d5a36f0de9db02605c3f52520d2f9f56bca51cedf8a4f67# we are hiring home / domestic #url_a611accdf5e94eb5fe30981160c8d3567cd60b01d074a6bfea919aca521be808# mother is home, before mom died, he told me so many wonderful things about your country, so i decided to use it from there so that my children can learn about my mothers #url_8e9edd457f3dee7780d9d7bcf9b89b246ca928214071c82ab963eebba2e06bf4# am currently living in london uk. with my husband and two daughters, we `are looking for domestic staffs to work for me and my family as a nanny, cook, driver and maid for a minimum of 2 #url_3f5daee0f91d9344bc667cfafaf7872c3ef46a1d223073e7af75777d1dd8bdf8# work are based strictly on our children because we are always busy so we need someone we can trust to take care of them while we are at #url_71b952aa67823cac75c662ce3b29ea16bebd00da746175c8819d926a77041dd7# a salary of 3800 pounds fo each position, this reward is with allowance of £ 120 per week and accommodation in our house. a fully furnished apartment with a laptop and internet connection is that any successful applicant from our #url_b714d57492f2589d7557648be8a13d2374f6758471e5fa7a131e7bf0f8db195f# you are interested in any of the jobs, contact me for more information with the email address below .. #email_d070340bd1ab4b201d5a36f0de9db02605c3f52520d2f9f56bca51cedf8a4f67#",1,0.048650574291680154,0.9513494257083198
"assistant accountant looking for an assistant accountant to join a professional and highly regarded company. the suitable candidate will receive high quality training and experience so they will gain a great opportunity to add to their accounting skills. the practice asks for high levels of dedication, loyalty and a strong work ethic from staff. in return it offers long term employment with total support and on-the-job training as part of its mentoring program. you will also be encouraged, with full study support, to achieve ca/cpa qualification. key responsibilities will include: creating spreadsheets for budgeting, cash flow, analysis &amp; management reports assisting with initial tax research preparing all australian taxation office forms for clients inputting data e.g. myob tax and handiledger assisting clients to utilise the firm's tools for business improvement and management accounting the ideal candidate will have the following skills and attributes: • an excellent knowledge of bookkeeping and compliance. • confident to work both independently and within a team. • works with accuracy and has an eye for detail with the focus required to meet deadlines. • good time management skills • strong communication skills with a solid command of english (written and verbal). the successful candidate must be highly self-motivated and able to work under pressure to meet deadlines, with a focus on accuracy and attention to detail. you will need to possess exemplary analytical capability, underpinned by well-developed interpersonal skills that enable you to relate easily to a wide range of stakeholders. we are waiting your resume.",1,0.1620154925575075,0.8379845074424925
